language,model_type,unit_of_analysis,index,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
it,RandomForest,title_and_first_sentence_each_paragraph,41,No Upsampling,RandomForest,0.7539064399732479,0.746739437504094,0.2098765432098765,0.7324887600174894,0.6904053501503119,0.81445523193096,0.8603034354311003,0.5161443610750315,0.4486504021429158,0.0166666666666666,0.5321550094517958,0.4387129054520358,0.5217391304347826,0.4845664527807384
it,RidgeClassifier,raw_text,45,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.533827383446914,0.4170177349006314,0.15,0.7215553809861883,0.6368852352433828,0.4652173913043478,0.3550879215164929
it,RidgeClassifier,title,49,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.9962629598046452,0.9953209080700984,0.9753086419753086,0.9936912594072788,0.9915382759132758,0.9989212513484358,0.999223602484472,0.4390384429585338,0.3554161408479532,0.05,0.4618469378108966,0.3601655045733993,0.4434782608695652,0.3772951681880253
it,RidgeClassifier,title_and_10_sentences,46,No Upsampling,RidgeClassifier,0.9994652357111904,0.9993894993894994,0.9958847736625516,0.998939535223886,0.9987893462469734,1.0,1.0,0.4669464888922907,0.3589748443476317,0.0666666666666666,0.5810075043937492,0.4968040905426729,0.4130434782608695,0.3089668071810929
it,RidgeClassifier,title_and_5_sentences,49,SVMSMOTE,RidgeClassifier_SVMSMOTE,0.9983918432043312,0.99868019279784,0.9958847736625516,0.9968033558249444,0.9973777964483268,1.0,1.0,0.4518597658915726,0.3565307093519673,0.0666666666666666,0.5512778966465167,0.4595067458421495,0.4043478260869565,0.3104019446876589
it,RidgeClassifier,title_and_first_paragraph,45,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.9941703301710944,0.9917255164199488,0.9629629629629628,0.9885366144803344,0.9837785600103284,1.0,1.0,0.4388246550000999,0.3577788162790304,0.0833333333333333,0.4934822187065745,0.4052685654761496,0.4130434782608695,0.3364207860636432
it,RidgeClassifier,title_and_first_sentence_each_paragraph,45,BorderlineSMOTE,RidgeClassifier_BorderlineSMOTE,0.9989352610711834,0.9981447124304268,0.9917695473251028,0.9978977885652642,0.9963392857142858,1.0,1.0,0.4616669776048657,0.3905050958112183,0.0833333333333333,0.601945187767494,0.5670189024226292,0.4043478260869565,0.3323426726998155
it,SVM,raw_text,51,BorderlineSMOTE,SVM_sigmoid_BorderlineSMOTE,0.9862898158933956,0.9828829098548862,0.9218106995884774,0.9731750940922403,0.9665890875883966,1.0,1.0,0.5328467303923925,0.4072011043066328,0.0833333333333333,0.6312192718714458,0.5148360898360897,0.4826086956521739,0.3613454904526333
it,SVM,title,50,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,0.920081869255236,0.9166547410159638,0.5390946502057613,0.8955994779618831,0.8823743784151266,0.9492988133764833,0.957572366354447,0.4852171705919373,0.3846101356690856,0.0333333333333333,0.486209759350181,0.3752977761199197,0.5130434782608696,0.4275222516293945
it,SVM,title_and_10_sentences,53,No Upsampling,SVM_sigmoid,0.8975215254995482,0.9089036673154663,0.4691358024691358,0.893117958522155,0.8923853405924874,0.912621359223301,0.9355890734135804,0.5237135309786506,0.4067560520814604,0.0666666666666666,0.6366483154526634,0.5299860853432282,0.4869565217391304,0.3767559601488172
it,SVM,title_and_5_sentences,53,No Upsampling,SVM_sigmoid,0.9191730220334098,0.9206727904657988,0.588477366255144,0.9057519254553762,0.8939247457251234,0.9374325782092772,0.953495242475516,0.4996363263359816,0.3950695044410792,0.0666666666666666,0.5754595446009235,0.4568374852781522,0.4521739130434782,0.3560839139410568
it,SVM,title_and_first_paragraph,52,No Upsampling,SVM_rbf,0.980857000093268,0.9791155228247816,0.9012345679012346,0.9718196453754114,0.9702119283230872,0.9902912621359224,0.988408869650232,0.4845851567412782,0.3903469343549724,0.05,0.5077805567262452,0.4053149130518826,0.4913043478260869,0.4003702516202517
it,SVM,title_and_first_sentence_each_paragraph,51,BorderlineSMOTE,SVM_sigmoid_BorderlineSMOTE,0.9756086261956112,0.9648142494122004,0.8436213991769548,0.955842745969094,0.935728891878333,0.9978425026968716,0.9981191222570532,0.514158028462777,0.407175361882406,0.0833333333333333,0.6120195043954904,0.5386083602189834,0.4739130434782608,0.364688277723992
it,XGBoost,raw_text,68,SVMSMOTE,XGBoost_narrow_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5353764251721947,0.4056060124935797,0.05,0.5274998364554713,0.4071850416608482,0.5695652173913044,0.4310430835430835
it,XGBoost,title,60,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,0.9548524050468324,0.965921018387795,0.8106995884773662,0.915503372109054,0.9359545635355077,1.0,1.0,0.4109652211935541,0.3345180479919297,0.0,0.3531845132813039,0.2879620734570074,0.5217391304347826,0.4426208311922598
it,XGBoost,title_and_10_sentences,62,No Upsampling,XGBoost_narrow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5007619387616812,0.3788910578857783,0.05,0.4530788526567798,0.3490336480120503,0.5739130434782609,0.4311723070651642
it,XGBoost,title_and_5_sentences,62,No Upsampling,XGBoost_narrow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4798823575919864,0.363005773557384,0.0333333333333333,0.448221710599668,0.3430512060062703,0.5260869565217391,0.3951597987312273
it,XGBoost,title_and_first_paragraph,62,No Upsampling,XGBoost_narrow,0.9946948967404724,0.9959533008954736,0.9794238683127572,0.9895608202169704,0.9920393098096156,1.0,1.0,0.4680209248327635,0.3664311360632789,0.0,0.4168148729437843,0.3229924295483249,0.5478260869565217,0.437080620294906
it,XGBoost,title_and_first_sentence_each_paragraph,60,BorderlineSMOTE,XGBoost_narrow_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5080779727518858,0.4050044201829916,0.0,0.5123752992866231,0.4211160090660598,0.5173913043478261,0.4059932052789195
po,KNN,raw_text,0,BorderlineSMOTE,kNN_BorderlineSMOTE,0.7935157123920477,0.7444799502548428,0.2516129032258064,1.0,1.0,0.6723910171730515,0.6103511320873641,0.4621858285671837,0.3791670033600787,0.0256410256410256,0.5773754360526205,0.4851808905380333,0.4029126213592233,0.3254065796359029
