language,model_type,model_subtype,model_name,unit_of_analysis,run_uuid,runName,exp_id,train_recall_macro_std,train_recall_micro_mean,test_accuracy_mean,train_precision_micro_std,test_f1_macro_mean,test_recall_macro_std,test_recall_micro_std,test_recall_macro_mean,test_accuracy_std,test_f1_micro_mean,train_f1_micro_std,train_accuracy_std,train_f1_macro_mean,test_precision_macro_std,train_recall_micro_std,test_precision_micro_mean,test_precision_micro_std,train_f1_micro_mean,train_accuracy_mean,train_precision_macro_mean,test_recall_micro_mean,test_f1_macro_std,train_precision_macro_std,test_precision_macro_mean,train_recall_macro_mean,test_f1_micro_std,train_f1_macro_std,train_precision_micro_mean,min_df,multilabel_type,base_estimator_name,min_var,n_features,tfidf,corr_threshold,analysis_level,spacy_model_used,max_df,vectorizer_max_features,is_count_vectorizer,n_gram_range_start,n_gram_range_end
en,Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,title_and_first_paragraph,c201bf1ce0084118bac49a36c138929b,mysterious-snail-482,100620624902858543,0.0042693653626572,0.3694484916559726,0.0,0.0127108625679452,0.1984849456670753,0.0063820197831238,0.0034643661289301,0.3243002554289138,0.0,0.2693437952819762,0.0060574985388157,0.0,0.2005254563396579,0.0039899738073418,0.0017050874939553,0.2712901137116036,0.0045461709725604,0.2655701958118559,0.0,0.1937552981577522,0.369195644466263,0.0003902956061226,0.0077812575062538,0.1929494423667253,0.334232670079526,0.0019240436790571,0.0012977475895702,0.2650778383726295,0.0124002873495671,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNbClassifier())])",0.0,695,True,1.0,model_wide,en_core_web_sm,0.748492860495388,842,False,1,3
en,Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,title_and_first_sentence_each_paragraph,12ce916d809b405ca0476b7e2e5c4b10,loud-smelt-574,288101959404983933,0.006668336190035,0.3684626844583579,0.0,0.0119423535030979,0.2077636979284232,0.0070713870430762,0.0056637047332387,0.3357040576324842,0.0,0.2778711917924802,0.0046456903014696,0.0,0.206745559059085,0.0059707852554735,0.0093257662775842,0.2759130865058281,0.0061318823416216,0.2704541663680055,0.0,0.2044486504627629,0.3760866561210204,0.0083573633944187,0.0133052133587505,0.198091144895028,0.3390910457905532,0.0108487572496153,0.0059752600145352,0.2804042754206042,0.0204622897621174,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNbClassifier())])",0.0,585,True,1.0,model_wide,en_core_web_sm,0.6786953386675093,603,False,1,3
en,ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,raw_text,5781cbbb67e44202bc0fc9b19fda07f5,bold-shrimp-357,403167328154701574,0.0031903020906071,0.847479106190078,0.0429572753861585,0.0050417032009151,0.5753444250003324,0.0303904209210467,0.0146706766698297,0.6420908562768861,0.0222047336891764,0.6908350797192458,0.0028603436401478,0.005378432843782,0.7338602282293062,0.0120761674362465,0.0026196524724534,0.6780533772741307,0.0113525233910759,0.7997460312184531,0.1585406487303586,0.6712190791208211,0.721564914816633,0.011088123606542,0.0097590231125908,0.5461608729886436,0.8602860597434843,0.0107252244940151,0.0066531513052175,0.7747915243749536,0.0334043145256828,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",0.0,683,True,0.9832608554243396,model_wide,en_core_web_sm,0.6993834564593098,744,False,1,3
en,ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,title,7303d9d5835349a893d4192d099d45ba,blushing-seal-414,757983363091973758,0.0059339300105048,0.9197962674865168,0.0525335847934005,0.0051514127362638,0.4886964039000022,0.0113713479113115,0.0029667706758,0.5003148180762362,0.0170965821628399,0.6011016261635179,0.0034228757473933,0.0066333450395832,0.8266706714643185,0.008779464295255,0.0113538317712989,0.5963868643952672,0.0156362040516354,0.8647951524607178,0.4416357169291398,0.7529518350477823,0.6115375052273677,0.0091718650675187,0.0025603772654906,0.48517709113469,0.9370551256698644,0.008420273548242,0.0022147673103075,0.8255346042068861,0.0009125325579342,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",0.0,373,True,1.0,model_wide,en_core_web_sm,0.7324638229547363,410,False,1,3
en,ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,title_and_10_sentences,b42c4bc6abc04f80ab092290b739b98e,serious-steed-542,552599055394178324,0.0119501955122847,0.8736644842174838,0.0485776093953371,0.0063214743112329,0.5570110453323965,0.0387467984167118,0.02424593025221,0.5759483639046884,0.0151196524106151,0.6729819417146481,0.00394538462429,0.0152873190355006,0.7997197894333005,0.0043547598765788,0.0111711233304991,0.6742032727331435,0.0215276595547538,0.8350662328792712,0.2519930984757145,0.7408412104351682,0.6820929244168076,0.0155762943330184,0.0113499713598143,0.5551653147114007,0.8971728064250897,0.0186811837528204,0.012647407572394,0.8112043987163867,0.0130351502108598,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",0.0,560,True,0.970843290038614,model_wide,en_core_web_sm,0.4786276416770125,611,False,1,3
en,ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,title_and_5_sentences,fbe6cf0900c84c4992240f6ddc4207dc,invincible-trout-81,977309009503569613,0.0209213614893555,0.9325995781804792,0.0757565875034103,0.0090342669963098,0.5324147590924503,0.0262026057453123,0.0183720041919171,0.5067867472194627,0.0214639723327499,0.6649959771396456,0.0057580744959781,0.0126513728071118,0.8974193884192143,0.020264126045092,0.0149970463309522,0.6911612710307891,0.0226205765925994,0.916785932285634,0.5350683578483091,0.8637713641432573,0.651981445117184,0.0227129014691948,0.025817333962432,0.5780939348746229,0.9464034020771908,0.0177105812149428,0.0111916448342924,0.9065894711442438,0.01,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",0.0,1320,True,1.0,model_wide,en_core_web_sm,0.675,10000,False,1,3
en,ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,title_and_first_paragraph,89c5c0c67a334910aa07adf70e5feb6b,abundant-cat-810,772098882011704208,0.0015886470657646,0.9943255291485786,0.050698806572218,0.0154668886372447,0.5283275364484595,0.0721964623396117,0.0278888817761793,0.5436398352103419,0.0124666566155733,0.6541414325077346,0.0082828638505857,0.0541988275771946,0.9753073406338116,0.0219113411887935,0.0012485999992263,0.6581976311940361,0.009794625244443,0.9850088375985816,0.8997819040780581,0.9578881718851332,0.659804928271423,0.033708653893839,0.0353017433988142,0.533333699383923,0.99624286880492,0.0159808293753698,0.0194817599623161,0.9767937360324652,0.003,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",0.0,3419,True,1.0,model_wide,en_core_web_sm,0.625,10000,False,1,3
en,ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,title_and_first_sentence_each_paragraph,30de46baafb44423a7029ef1dc0ac76f,treasured-turtle-292,366961555187380073,0.0005700802484522,0.9859346352548068,0.0565815642438844,0.0042362506911249,0.5781095030418968,0.0154221507048732,0.0134107465962574,0.6275260520365508,0.0172799670161024,0.6841954850369554,0.0029137149911251,0.0206136313359456,0.929730146301134,0.0155445103010133,0.0010213571062578,0.6736886565643968,0.0238799331261853,0.9638649603483012,0.7608021356748011,0.8846143586811189,0.7053142784414262,0.0112750508009768,0.006553123867786,0.5546310993064687,0.991829523115373,0.0124973560928064,0.0045145505510182,0.9470679340198366,0.0015,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",0.0,8473,True,1.0,model_wide,en_core_web_sm,0.8,10000,False,1,3
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,raw_text,a3758afaa7ee4c3cb0f4e5b82a842b91,defiant-lamb-968,510629908846694521,0.0,1.0,0.0195294509744342,0.0,0.5371888082652694,0.0239251693934102,0.020164057916628,0.7307296125651993,0.0075053149941866,0.656532205610219,0.0,0.0,1.0,0.0072342472702031,0.0,0.6117185449511187,0.0126736945614648,1.0,1.0,1.0,0.7596324705903744,0.0033948280622017,0.0,0.4623531262896759,1.0,0.0026759227817111,0.0,1.0,0.0078092894787963,independent,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('up', BorderlineSMOTE()), ('model', KNeighborsClassifier())])",0.0,471,True,0.9994026722450498,model_wide,en_core_web_sm,0.6883901831659422,493,False,1,3
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,title,9df31e294e84461e99c1fd68e5fa7627,colorful-hound-849,527998136194800210,0.0088226262398063,0.9615012500567818,0.0155278712622028,0.0138247750359057,0.4592482927313145,0.017033153558269,0.0098100894627026,0.601106838654529,0.0053700878767772,0.5749646890198276,0.0068347658575911,0.0212594985636359,0.8904352389964547,0.011771553699804,0.0052282877785091,0.5529477328447197,0.002674522174085,0.9402142554422585,0.8978519974976754,0.8419300762352168,0.6382419225804106,0.0115361037690925,0.0258780560029851,0.4096705758100165,0.9654616350920844,0.0042661838320906,0.0155619577233956,0.9278297209145542,0.0009125325579342,independent,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('up', BorderlineSMOTE()), ('model', KNeighborsClassifier())])",0.0,373,True,1.0,model_wide,en_core_web_sm,0.7324638229547363,410,False,1,3
