language,model_type,model_subtype,model_name,unit_of_analysis,index,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,KNN,Random Oversampling,kNN_ROS,raw_text,2,0.6403690509991863,0.4621702486544178,0.1362530413625304,0.7776126091024692,0.670139873934476,0.5961657390228818,0.4070447819845333,0.6184916838508744,0.4101820890258396,0.0970873786407767,0.7512392008987376,0.5832962971111334,0.5721271393643031,0.3580777020512135
en,KNN,Random Oversampling,kNN_ROS,title_and_10_sentences,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6326869834029051,0.4307436098890513,0.1067961165048543,0.779359716817671,0.618948220652743,0.5794621026894865,0.3721743906804117
en,KNN,Random Oversampling,kNN_ROS,title_and_5_sentences,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6179412855417378,0.4053214395563219,0.0970873786407767,0.7569982782544352,0.5901992882518128,0.5696821515892421,0.3533529352847107
en,KNN,Random Oversampling,kNN_ROS,title_and_first_paragraph,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6075705004318201,0.3988150661164628,0.1262135922330097,0.7323527035866337,0.5634991203539591,0.5550122249388753,0.3465016094610015
en,KNN,Random Oversampling,kNN_ROS,title_and_first_sentence_each_paragraph,2,0.6447371565838869,0.4751706286621635,0.145985401459854,0.8008967658099876,0.7301835633282997,0.5986394557823129,0.4147649437930905,0.6079435799712972,0.4041624048357974,0.0776699029126213,0.7768917840102282,0.6128040636106891,0.5476772616136919,0.3454267680476959
en,KNN,SMOTE,kNN_SMOTE,raw_text,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6772497327646906,0.5347421226183526,0.1067961165048543,0.7699996017918791,0.7530548547573692,0.6381418092909535,0.4636508457086496
en,KNN,SMOTE,kNN_SMOTE,title_and_10_sentences,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6427715375607821,0.433495728413058,0.116504854368932,0.7601590697403655,0.5805252782931355,0.5941320293398533,0.3808521685330728
en,KNN,SMOTE,kNN_SMOTE,title_and_5_sentences,3,0.6359205935010672,0.4688827566586891,0.1557177615571776,0.8307156742095126,0.791636997988881,0.5683364254792826,0.3947042750706438,0.6138411789341023,0.4133742949401972,0.1067961165048543,0.7371890007335138,0.548886605924421,0.5501222493887531,0.3537883375063105
en,KNN,SMOTE,kNN_SMOTE,title_and_first_paragraph,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5758958212467902,0.364988443826988,0.1067961165048543,0.7164776290594573,0.5459172910209776,0.5281173594132029,0.3158309867996022
en,KNN,SMOTE,kNN_SMOTE,title_and_first_sentence_each_paragraph,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6010720337122545,0.3948012499866332,0.0679611650485436,0.717501628137325,0.5516133337561909,0.5623471882640587,0.3503782586374844
en,KNN,SVMSMOTE,kNN_SVMSMOTE,raw_text,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6772497327646906,0.5347421226183526,0.1067961165048543,0.7699996017918791,0.7530548547573692,0.6381418092909535,0.4636508457086496
en,KNN,SVMSMOTE,kNN_SVMSMOTE,title_and_10_sentences,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6828736649779704,0.5377742786377707,0.058252427184466,0.6788008049070353,0.5241097841212785,0.6992665036674817,0.5851146015967512
en,KNN,SVMSMOTE,kNN_SVMSMOTE,title_and_5_sentences,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.663612014757174,0.5195461775472856,0.0194174757281553,0.6760757225550016,0.508961306404864,0.6601466992665037,0.5451978653409287
