language,model_type,model_subtype,model_name,unit_of_analysis,index,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
fr,RidgeClassifier,No Upsampling,RidgeClassifier,raw_text,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3238018167218709,0.2071347915860111,0.119047619047619,0.4869734432234432,0.3388049450549451,0.2777777777777778,0.1758256029684601
fr,RidgeClassifier,No Upsampling,RidgeClassifier,title,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2806500564652738,0.2277271943032812,0.0,0.382165731789792,0.3209452201933405,0.2777777777777778,0.2245299938157081
fr,RidgeClassifier,No Upsampling,RidgeClassifier,title_and_10_sentences,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2922830772584467,0.1971630176063673,0.0714285714285714,0.4655575905575905,0.3127289377289378,0.246031746031746,0.1702643784786641
fr,RidgeClassifier,No Upsampling,RidgeClassifier,title_and_5_sentences,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3243745700734948,0.262732742168226,0.0238095238095238,0.3818365357839042,0.3370614035087719,0.3174603174603174,0.2472572665429808
fr,RidgeClassifier,No Upsampling,RidgeClassifier,title_and_first_paragraph,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3937912535042653,0.3251717710186858,0.0476190476190476,0.494126685762024,0.4351638023630505,0.3809523809523809,0.3105210265924551
fr,RidgeClassifier,No Upsampling,RidgeClassifier,title_and_first_sentence_each_paragraph,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3123897266754409,0.203734360877218,0.0,0.4029811924769907,0.2741446578631453,0.2777777777777778,0.1794619666048237
fr,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,raw_text,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3238018167218709,0.2071347915860111,0.119047619047619,0.4869734432234432,0.3388049450549451,0.2777777777777778,0.1758256029684601
fr,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,title,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2806500564652738,0.2277271943032812,0.0,0.382165731789792,0.3209452201933405,0.2777777777777778,0.2245299938157081
fr,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,title_and_10_sentences,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2922830772584467,0.1971630176063673,0.0714285714285714,0.4655575905575905,0.3127289377289378,0.246031746031746,0.1702643784786641
fr,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,title_and_5_sentences,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3243745700734948,0.262732742168226,0.0238095238095238,0.3818365357839042,0.3370614035087719,0.3174603174603174,0.2472572665429808
fr,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,title_and_first_paragraph,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3937912535042653,0.3251717710186858,0.0476190476190476,0.494126685762024,0.4351638023630505,0.3809523809523809,0.3105210265924551
fr,RidgeClassifier,Random Oversampling,RidgeClassifier_ROS,title_and_first_sentence_each_paragraph,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3123897266754409,0.203734360877218,0.0,0.4029811924769907,0.2741446578631453,0.2777777777777778,0.1794619666048237
fr,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,raw_text,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3238018167218709,0.2071347915860111,0.119047619047619,0.4869734432234432,0.3388049450549451,0.2777777777777778,0.1758256029684601
fr,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,title,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2806500564652738,0.2277271943032812,0.0,0.382165731789792,0.3209452201933405,0.2777777777777778,0.2245299938157081
fr,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,title_and_10_sentences,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2922830772584467,0.1971630176063673,0.0714285714285714,0.4655575905575905,0.3127289377289378,0.246031746031746,0.1702643784786641
fr,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,title_and_5_sentences,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3243745700734948,0.262732742168226,0.0238095238095238,0.3818365357839042,0.3370614035087719,0.3174603174603174,0.2472572665429808
fr,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,title_and_first_paragraph,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3937912535042653,0.3251717710186858,0.0476190476190476,0.494126685762024,0.4351638023630505,0.3809523809523809,0.3105210265924551
fr,RidgeClassifier,SMOTE,RidgeClassifier_SMOTE,title_and_first_sentence_each_paragraph,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3123897266754409,0.203734360877218,0.0,0.4029811924769907,0.2741446578631453,0.2777777777777778,0.1794619666048237
fr,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,raw_text,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3281746031746031,0.2188775510204081,0.0952380952380952,0.4821558252930801,0.3431305855675603,0.2936507936507936,0.1960853432282003
fr,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,title,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3547787914189103,0.3200661587683227,0.0,0.3697536729491616,0.3407646864413782,0.3809523809523809,0.3490847247990105
fr,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,title_and_10_sentences,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2733106490459431,0.1880548373195432,0.0714285714285714,0.3821644184739423,0.2493927699284842,0.238095238095238,0.1683426097711811
fr,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,title_and_5_sentences,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3123581473427863,0.2480450489091042,0.0238095238095238,0.3660099322380024,0.3086048454469506,0.3015873015873015,0.2332266542980828
fr,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,title_and_first_paragraph,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3832309749026945,0.3191919170044928,0.0476190476190476,0.4660493827160493,0.4126984126984127,0.365079365079365,0.2976808905380333
fr,RidgeClassifier,SVMSMOTE,RidgeClassifier_SVMSMOTE,title_and_first_sentence_each_paragraph,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.287692554359221,0.178110778110778,0.0238095238095238,0.3357331821617536,0.2174319727891156,0.2698412698412698,0.16569573283859
fr,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,raw_text,51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,title,51,0.9947355332079518,0.987945727741646,0.970414201183432,1.0,1.0,0.99009900990099,0.9774149659863944,0.1247291509196271,0.0853844568130282,0.0,0.234006734006734,0.1764069264069264,0.0952380952380952,0.065273654916512
fr,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,title_and_10_sentences,49,0.9608085808580856,0.9136904761904762,0.8757396449704142,1.0,1.0,0.9524752475247524,0.8976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,title_and_5_sentences,49,0.956833069861608,0.905652260904362,0.8461538461538461,1.0,1.0,0.9405940594059404,0.87263996507694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,title_and_first_paragraph,49,0.975973597359736,0.938095238095238,0.9230769230769232,1.0,1.0,0.9742574257425742,0.9336734693877552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,BorderlineSMOTE,SVM_rbf_BorderlineSMOTE,title_and_first_sentence_each_paragraph,49,0.975973597359736,0.938095238095238,0.9230769230769232,1.0,1.0,0.9742574257425742,0.9336734693877552,0.0148148148148148,0.0095238095238095,0.0,0.1111111111111111,0.0714285714285714,0.0079365079365079,0.0051020408163265
fr,SVM,No Upsampling,SVM_rbf,raw_text,52,0.9037830968110524,0.8184556810817315,0.6863905325443787,1.0,1.0,0.8554455445544554,0.7360877453668255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,No Upsampling,SVM_rbf,title,52,0.8543264260965309,0.7562070972837045,0.6035502958579881,1.0,1.0,0.7841584158415842,0.6518170158506293,0.0673400673400673,0.0432900432900432,0.0476190476190476,0.0584795321637426,0.037593984962406,0.0793650793650793,0.0510204081632653
fr,SVM,No Upsampling,SVM_rbf,title_and_10_sentences,50,0.8605080269108193,0.7268964407784876,0.6035502958579881,0.9722772277227724,0.9285714285714286,0.8158415841584158,0.6582956679175167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,No Upsampling,SVM_rbf,title_and_5_sentences,50,0.8474665633830419,0.7171038465074594,0.5976331360946746,0.9702970297029704,0.9285714285714286,0.7920792079207921,0.6348730661446275,0.0148148148148148,0.0095238095238095,0.0238095238095238,0.1111111111111111,0.0714285714285714,0.0079365079365079,0.0051020408163265
fr,SVM,No Upsampling,SVM_rbf,title_and_first_paragraph,50,0.8486866449297968,0.7256318435607063,0.5562130177514792,1.0,1.0,0.7861386138613862,0.6339450374678149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,No Upsampling,SVM_rbf,title_and_first_sentence_each_paragraph,50,0.849438006731086,0.7446448553440186,0.6331360946745562,1.0,1.0,0.7782178217821782,0.6466341997478663,0.0148148148148148,0.0095238095238095,0.0,0.1111111111111111,0.0714285714285714,0.0079365079365079,0.0051020408163265
fr,SVM,Random Oversampling,SVM_rbf_ROS,raw_text,53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,Random Oversampling,SVM_rbf_ROS,title,53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1650420980383818,0.1083097727899387,0.0238095238095238,0.3323412698412698,0.2130102040816326,0.1507936507936507,0.0995964749536178
fr,SVM,Random Oversampling,SVM_rbf_ROS,title_and_10_sentences,51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0436507936507936,0.0357142857142857,0.0,0.0698412698412698,0.0571428571428571,0.0317460317460317,0.0259740259740259
fr,SVM,Random Oversampling,SVM_rbf_ROS,title_and_5_sentences,51,0.9949871448665882,0.9955011653752892,0.9763313609467456,1.0,1.0,0.99009900990099,0.9911278195488722,0.0942043142043142,0.0635897435897435,0.0,0.3191609977324263,0.1556122448979592,0.0793650793650793,0.0571243042671614
fr,SVM,Random Oversampling,SVM_rbf_ROS,title_and_first_paragraph,51,0.9979990227594188,0.9985009276437848,0.9881656804733728,1.0,1.0,0.996039603960396,0.9970347113204256,0.0485008818342151,0.0396825396825396,0.0,0.1117460317460317,0.0914285714285714,0.0634920634920634,0.0519480519480519
fr,SVM,Random Oversampling,SVM_rbf_ROS,title_and_first_sentence_each_paragraph,51,0.9949703452488106,0.9966807745825604,0.970414201183432,1.0,1.0,0.99009900990099,0.9934644303065356,0.0634920634920634,0.0408163265306122,0.0476190476190476,0.0634920634920634,0.0408163265306122,0.0634920634920634,0.0408163265306122
fr,SVM,SMOTE,SVM_rbf_SMOTE,raw_text,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,SMOTE,SVM_rbf_SMOTE,title,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.151462651337338,0.115459644782953,0.0,0.2570947570947571,0.2023809523809523,0.1269841269841269,0.1009879406307977
fr,SVM,SMOTE,SVM_rbf_SMOTE,title_and_10_sentences,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,SMOTE,SVM_rbf_SMOTE,title_and_5_sentences,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,SMOTE,SVM_rbf_SMOTE,title_and_first_paragraph,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr,SVM,SMOTE,SVM_rbf_SMOTE,title_and_first_sentence_each_paragraph,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0148148148148148,0.0095238095238095,0.0,0.1111111111111111,0.0714285714285714,0.0079365079365079,0.0051020408163265
