language,model_name,unit_of_analysis,f1_micro,precision_micro,recall_micro,f1_macro,precision_macro,recall_macro,accuracy
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_sentence_each_paragraph,0.5263157894736842,0.5882352941176471,0.4761904761904761,0.3856125356125356,0.4896504654493376,0.3764440321583178,0.119047619047619
ge,AshtonIsNotHere-xlm-roberta-long-base-4096,raw_text,0.6686567164179105,0.6871165644171779,0.6511627906976745,0.5499378119065926,0.5915113499699965,0.556937862864444,0.0285714285714285
ge,AshtonIsNotHere-xlm-roberta-long-base-4096,title,0.5537459283387621,0.6296296296296297,0.4941860465116279,0.3968433267086878,0.4525375939849624,0.3912208743146382,0.0
ge,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_10_sentences,0.6188925081433224,0.7037037037037037,0.5523255813953488,0.4966756078847549,0.5801297692990239,0.4606653187590827,0.0
ge,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_5_sentences,0.6123778501628664,0.6962962962962963,0.5465116279069767,0.4437166622365834,0.5280218905744116,0.4249197047239949,0.0
ge,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_paragraph,0.5890410958904109,0.7166666666666667,0.5,0.4454272709038183,0.5577032987107887,0.3992461897039517,0.0285714285714285
ge,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_sentence_each_paragraph,0.6175438596491228,0.7787610619469026,0.5116279069767442,0.4698475924694884,0.6505359719645434,0.4098225255014286,0.0
it,AshtonIsNotHere-xlm-roberta-long-base-4096,raw_text,0.6501240694789082,0.7572254335260116,0.5695652173913044,0.5424261733969084,0.6677721088435374,0.4836865620794192,0.1666666666666666
it,AshtonIsNotHere-xlm-roberta-long-base-4096,title,0.5421994884910485,0.6583850931677019,0.4608695652173913,0.403677404905812,0.5090314447457305,0.3598662143305001,0.0833333333333333
it,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_10_sentences,0.5848563968668408,0.7320261437908496,0.4869565217391304,0.4351273876588046,0.531940995512424,0.3937817394960252,0.1333333333333333
it,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_5_sentences,0.5478036175710596,0.6751592356687898,0.4608695652173913,0.4083719070639566,0.4870990517419088,0.3644231021016735,0.1333333333333333
it,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_paragraph,0.5552699228791773,0.6792452830188679,0.4695652173913043,0.4028415109160451,0.4877485148818376,0.3715330702830702,0.1166666666666666
it,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_sentence_each_paragraph,0.5319148936170213,0.684931506849315,0.4347826086956521,0.4167714086679603,0.5392600396802079,0.3588784026284026,0.1166666666666666
po,AshtonIsNotHere-xlm-roberta-long-base-4096,raw_text,0.7107438016528926,0.821656050955414,0.6262135922330098,0.626235780793287,0.7771728300455009,0.5488680805410129,0.0512820512820512
po,AshtonIsNotHere-xlm-roberta-long-base-4096,title,0.5378151260504203,0.6357615894039735,0.4660194174757281,0.4767413617486278,0.6134417100173403,0.420923687840981,0.0256410256410256
po,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_10_sentences,0.6282420749279538,0.7730496453900709,0.529126213592233,0.5714488049939611,0.7494198262055406,0.5088205653995128,0.0512820512820512
