language,model_name,unit_of_analysis,f1-micro_mean,f1-micro_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
fr,distilbert-base-multilingual-cased,title_and_10_sentences,0.5332094556834693,0.0099743834078704,0.6071959853877151,0.0163634743615904,0.4756601930484838,0.0166103431021083,0.6960857081768267,0.0072922790356339,0.0663983903420523,0.0167328956831322
fr,distilbert-base-multilingual-cased,title_and_5_sentences,0.506653128069194,0.0168469272245856,0.5627770247827694,0.0267471090466144,0.4619892016962392,0.0295619325075025,0.6818226168200324,0.0074492235973622,0.0804828973843058,0.0212137711921081
fr,distilbert-base-multilingual-cased,title_and_first_paragraph,0.511319486747306,0.0239829305304931,0.5842415332769387,0.0331158626523838,0.454782349842652,0.0209387250513826,0.683491088940762,0.0128942013308745,0.0662642521797451,0.0212997928372544
fr,distilbert-base-multilingual-cased,title_and_first_sentence_each_paragraph,0.542249817389932,0.0341220248474262,0.6200638745003046,0.0603087313582865,0.484794951825126,0.0453770480182763,0.7016025636332551,0.0216299400619484,0.0900067069081153,0.0161045419608498
fr,facebook-mbart-large-50,raw_text,0.5954374393899321,0.0153735705912751,0.6518043174723414,0.0323389702469557,0.5485112774979232,0.0107280829378227,0.7344798613251203,0.0067793195058368,0.0995305164319248,0.0143088391253497
fr,facebook-mbart-large-50,title,0.5201497185100931,0.0257244413585166,0.5898302734002532,0.0504168034933063,0.4665872970479967,0.0268166671742196,0.6889911446199181,0.01581327688198,0.0806841046277666,0.0222613788289232
fr,facebook-mbart-large-50,title_and_10_sentences,0.578765280602551,0.016821636077368,0.6462762517171523,0.0353219640133332,0.5253903611188395,0.0278784489817109,0.7235901589350053,0.0120659434763128,0.0947015425888665,0.0155663855274466
fr,facebook-mbart-large-50,title_and_5_sentences,0.5628736179659634,0.0226671384044656,0.618512116358712,0.046298689148935,0.5217197047519121,0.06027576665576,0.7166738734836363,0.0211506034133454,0.0710261569416498,0.0136865302307463
fr,facebook-mbart-large-50,title_and_first_paragraph,0.5463088875831258,0.0181410257435657,0.6281723175864188,0.0153270485595383,0.4836519086784785,0.0240703397467901,0.7028087122038874,0.0131242694166892,0.0804158283031522,0.0352097345646915
fr,facebook-mbart-large-50,title_and_first_sentence_each_paragraph,0.5795739203173499,0.0135773125185113,0.650429756463276,0.0159834147615284,0.5231547919039254,0.0236253519306557,0.7231897679301156,0.0108879612356113,0.1136820925553319,0.0242377489220571
fr,gpt2,raw_text,0.5064260864966533,0.0197346847519916,0.5640841949900639,0.0235600693430084,0.4605541145442259,0.0329167124716768,0.681854694716057,0.0162835116642261,0.0663983903420523,0.0298702978877307
fr,gpt2,title,0.3806104133869656,0.0309408457290562,0.4859787399361868,0.06070633496855,0.3132994520638345,0.0173164710170046,0.6112870748815017,0.0144264129231995,0.052112676056338,0.0080256220020841
fr,gpt2,title_and_10_sentences,0.464924454630337,0.021484259277698,0.549326907265851,0.0229413126985029,0.4031151552060937,0.0214900704359193,0.6565013902073481,0.0151249935038394,0.0710261569416498,0.024402548536234
fr,gpt2,title_and_5_sentences,0.4194883077134491,0.034398948148233,0.5047353498984336,0.0326786102300216,0.3589953269727772,0.0340832458793431,0.6316390112003142,0.021262577801772,0.0519785378940308,0.0290619700822621
fr,gpt2,title_and_first_paragraph,0.424999737893884,0.0163440585165952,0.5140543828500034,0.0106854539327099,0.3623368144878241,0.0184378382917284,0.6346238603152522,0.0056231813712288,0.0474178403755868,0.0359932333787822
fr,gpt2,title_and_first_sentence_each_paragraph,0.4948626997928563,0.0373147195057317,0.5605311355311354,0.0424609319065219,0.4432990675308497,0.0362922632798874,0.6741880758827185,0.024293168452256,0.0709590878604963,0.0278701691129094
fr,xlm-roberta-large,raw_text,0.5919646852293265,0.0111528081685072,0.6344237667474016,0.0402153082815885,0.5574034681284809,0.0358993823425232,0.7348623930545779,0.01291125628526,0.104225352112676,0.0073185245390234
fr,xlm-roberta-large,title,0.5313460645099745,0.0225947378273742,0.5790218617139243,0.0108353272208324,0.4914069444359172,0.032809471632348,0.6972579593826307,0.0153477001303434,0.0853118712273641,0.0006970023370498
fr,xlm-roberta-large,title_and_10_sentences,0.5759061269247593,0.0155665478033601,0.5899001192605844,0.012783074383754,0.5626400103087872,0.0193440234475432,0.72807775143706,0.0118259025057345,0.0945674044265593,0.0425476016971507
fr,xlm-roberta-large,title_and_5_sentences,0.57375260427892,0.0298126740977077,0.6020800244748902,0.0371815072414127,0.5490825836466057,0.0387540781939173,0.7252832694795358,0.020831671402455,0.0803487592219986,0.0401938014365413
fr,xlm-roberta-large,title_and_first_paragraph,0.5598382633558513,0.0304582975301037,0.6213836807052663,0.0285436013778473,0.5130524174468539,0.0627963122240615,0.7140027788920884,0.0248429858390018,0.0804158283031522,0.0352097345646915
fr,xlm-roberta-large,title_and_first_sentence_each_paragraph,0.5515656912883357,0.0368786966591241,0.5847201329878754,0.0249035821471513,0.5266603611874162,0.0720803870046059,0.7123376435623605,0.0295680439102285,0.0900067069081153,0.0161045419608498
ge,EleutherAI-gpt-neo-1.3B,raw_text,0.5639050285658795,0.0221338351086741,0.7131185727432764,0.036724886080528,0.4665285163397013,0.0179800820940206,0.6903583570111457,0.0128427267554216,0.0623417105006818,0.0255716511564065
ge,EleutherAI-gpt-neo-1.3B,title,0.4676192897703194,0.0144513540878957,0.5267387371810603,0.0220094035646985,0.4218420709609344,0.0312290127842163,0.6249067744478215,0.008117847358928,0.0227936879018118,0.0197420756914722
ge,EleutherAI-gpt-neo-1.3B,title_and_10_sentences,0.5728177736595174,0.0345485001750341,0.7027837907599529,0.0207856504838398,0.4838191905266173,0.0399280165306394,0.6954858388710362,0.0215713733035674,0.0852328073251509,0.0169701328595453
ge,EleutherAI-gpt-neo-1.3B,title_and_5_sentences,0.5679146342834925,0.0347808394943608,0.6548407616357341,0.025496318376974,0.503272269366497,0.051752675991904,0.6915436768838799,0.0238784051255664,0.0397428404441846,0.0096213194816799
ge,EleutherAI-gpt-neo-1.3B,title_and_first_paragraph,0.5512336745252677,0.0134951289559244,0.6600925512239394,0.0539114855672778,0.4744657378626089,0.0078827231416058,0.6802241471625954,0.0145750874751856,0.03954802259887,0.0544839026044799
